user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
British Landlords Association (The BLA),United Kingdom,British Landlords Association -The BLA a FREE association. Fastest-growing national landlords association in the UK. Join today! Email info@thebla.co.uk #thebla,2015-07-13 10:44:04,13360,2337,12440,False,2020-07-26 06:55:54,The latest The British Landlord Association Daily! https://t.co/k6NQz3vRmN Thanks to @vveksh @LaxMusgrave… https://t.co/iUbAcdV55t,,Paper.li,False
Mo Eco Devo,"Jefferson City, MO",Helping create opportunities for Missourians to prosper,2009-10-01 18:28:54,4082,531,1360,True,2020-08-18 18:02:45,"#COVID19 has affected business owners and workers across all industries, and you're not alone. The #MO Recovery Lab… https://t.co/knRFuSKUkw","['COVID19', 'MO']",Hootsuite Inc.,False
KYT,"Thane, India","From the house of Thanevaibhav, Thane district's largest Marathi daily , KYT is an English guide to anything and everything about Thane district.",2016-11-02 16:45:08,239,14,168,False,2020-07-25 05:09:23,"July 24: #Thane city #COVID19 update
New cases: 285, Discharged: 503 , Dead 4

Active cases: 6027 (35.16%)
Recovere… https://t.co/TicLUlg8lD","['Thane', 'COVID19']",Twitter Web App,False
Dr. Wolfgang H Thome,Germany,"Publisher of ATCNews, Africa's largest publication of its kind and otherwise flying through life inverted.",2010-04-20 06:38:31,11759,812,45496,False,2020-07-27 03:03:04,"#COVID19
Global overnight developments from 26th to 27th of July 2020
6 pm EAT: 16.285.278 Infections/Deaths 649.84… https://t.co/Kcx1fsIUyU",['COVID19'],Twitter Web App,False
Belinda Hayes,Melbourne,Communicating the amazing stories from @monashuni.,2009-08-27 07:28:18,478,720,217,False,2020-08-04 06:39:22,"Theatre can respond to the gendered impacts of #COVID19, and the growing violence women experience, by acting as a… https://t.co/SWKdqQCDcS",['COVID19'],Hootsuite Inc.,False
MOHAMMED I. JEGA,Naija,"Co-founder, Domineum.iolChief Business Development Executive,VoguePay|Director, Founder Institute|Founder,Startup Arewa|Director mAcademy|Aiesec Alumni",2009-10-29 20:57:26,2210,1212,1811,False,2020-08-01 17:09:37,"How Hospitals are Using AI to Fight COVID-19.

What do you think, about this innovation?

#techsaturdays… https://t.co/pxpFQIYtnl",['techsaturdays'],Instagram,False
Propertymark,,"Are you Propertymark Protected? Our agents offer higher standards of protection, whether you are renting, buying, selling or letting a property #lookforthelogo",2016-07-22 14:53:31,1173,696,1153,False,2020-08-11 08:45:04,"We've updated our dedicated #coronavirus page that tackles lots of questions about your property, including info on… https://t.co/4RyDASrRs6",['coronavirus'],Hootsuite Inc.,False
Manish A. Shah,Between here and there...,"Father, husband, oncologist @MeyerCancer, researcher. Things we do matter! Chief Solid Tumor Service @WeillCornell @NYPhospital @ASCO FASCO CPGC #GICancers",2014-03-15 01:31:58,1761,502,5665,False,2020-08-10 15:57:19,"Get Well Gilberto!  To better times! 

#COVID19 https://t.co/HLxOuXincn",['COVID19'],Twitter Web App,False
WorldStage,"Lagos, Nigeria",https://t.co/Qsywjub3Cc https://t.co/MORN7vdk5V,2011-09-12 15:57:05,20913,22957,39,False,2020-08-01 15:58:11,"WorldStage Newsonline-- Gov. David Umahi of Ebonyi State, his daughter and three of his aides have recovered from C… https://t.co/yT30zzJjI0",,Blog2Social APP,False
The Ismaili,,The official Twitter account of the Ismaili Muslim community. (RTs do not imply endorsement.),2008-10-14 03:53:34,19810,24,79,True,2020-08-11 09:30:20,Listen to @AliVelshi discuss how wearing a mask is a matter of life and death. Let's keep ourselves and our loved o… https://t.co/tMF2pbS5lO,,Falcon Social Media Management ,False
ZEE5 News,,"Stay up to date with the latest news from India & around the world, LIVE on ZEE5 News",2019-10-09 10:28:25,34127,50,3,True,2020-08-30 05:40:42,"@narendramodi This is a time for festivals but at the same time, there is also a sense of discipline among people d… https://t.co/xxr7O6EvhJ",,TweetDeck,False
ApocalypseNowPodcast,"New York, NY ",A #podcast that explores the possibility that we may be living during the end times. Hosted by @JoPincushion,2019-11-21 22:11:47,344,322,965,False,2020-08-30 02:00:34,"Electricity is getting shut off during a pandemic. 
https://t.co/ZtRc4n5oBq
#coronavirus #covid19 https://t.co/6elY1HnS2m","['coronavirus', 'covid19']",Hootsuite Inc.,False
Patrick Bordnick,"New Orleans, LA",Dean and Professor @TulaneSSW | Virtual Reality | Technology | Behavioral Change Specialist | Health and Behavioral Health | Addiction | Mental Health,2014-08-12 00:22:06,591,454,3058,False,2020-07-25 00:16:42,"Raise awareness to support the behavioral health needs of frontline responders: Doctors nurses, social workers, and… https://t.co/JEhyZ6MTac",,Twitter for Android,False
Gulf Daily News,Bahrain,Leading English Daily Newspaper published from Kingdom of Bahrain,2010-02-25 09:22:18,23969,103,8,True,2020-08-17 06:30:00,"The United States surpassed 170,000 coronavirus deaths on Sunday, according to a Reuters tally, as health officials… https://t.co/46kOgoNlyU",,TweetDeck,False
Benjamin P. Tetteh,"New York, NY","Media & Comms/Africa is my beat/ UN @africarenewal /
 Previously @Joy997FM, @WadrNews. 
@Studio20NYU grad",2009-11-26 18:09:39,2381,1214,2685,False,2020-08-13 09:49:15,#Ghana: Pooled sampling &amp; delivery of test results within 2 days proving way more effective than many countries.… https://t.co/nyaiVeFInt,['Ghana'],Twitter Web App,False
Tree Top Hospital,Maldives,Excellence in Healthcare,2016-10-01 07:28:44,2342,152,137,False,2020-08-09 06:44:28,"Announcement on Tree Top Hospital specialties for Today, Sunday, August 09, 2020.

Telemedicine consultations are a… https://t.co/L0lzH7zSZ9",,Twitter for Android,False
Anna M Shepard,Las Vegas NV,"Proud to be an American! #Dem #Poet & #Hashtagger / My motto: 'LEND A HAND, WHEN YOU CAN!' / https://t.co/OYZrqhhluk",2010-07-16 14:49:10,1696,2505,273,False,2020-08-01 17:19:47,Why is it so hard to understand that everything @RealDonaldTrump touches dies -BKs etc? It's been this way all his… https://t.co/jvjkk9szri,,Twitter Web App,False
Alameda County Public Health Department,Oakland,"The official Twitter account for the Alameda County Public Health Department. For COVID-19 info/resources, visit https://t.co/jsg6oPcj7N.",2013-06-21 16:12:59,4391,556,535,False,2020-08-01 18:02:01,"If a contact tracer calls you and says you were exposed to #COVID19, they will tell you to quarantine at home for 1… https://t.co/YpB6h72zMc",['COVID19'],Hootsuite Inc.,False
Oxyfind Technologies Pvt Ltd,"Guwahati, Assam","Hardware-less Contact Less Entry | Zero Crowd Zone Technology | Peer to Peer Tele Medicine for Hospital & Clinics

Read more: https://t.co/ZfX9gLiyHq",2020-03-27 10:24:04,6,6,13,False,2020-08-08 12:15:17,Oxyfind provides automated appointments through various platforms&amp;tele-medicine feature called Oxyphone enables con… https://t.co/wGD0kYSq9o,,Twitter for Android,False
HearMeRoar22,,Just saying it as it is!,2020-08-16 04:46:15,0,0,1,False,2020-08-16 04:49:20,People moaning about having to quarantine when coming back from France....you shouldn't have bloody gone in the fir… https://t.co/ej9PVJUlT6,,Twitter for Android,False
